title,image_url,summary
"Baidu posts 3% drop in third-quarter revenues, beating market expectations - CNBC",https://image.cnbcfm.com/api/v1/image/108065462-1732065569526-gettyimages-2183671344-CHINA_BAIDU_WORLD.jpeg?v=1732065604&w=1920&h=1080,"Beijing-based Baidu operates one of the major web browser search engines in China, along with a frequently used maps app. They forecast that China's stimulus announcements, which began in late September, will require time to take effect. ""Our strong AI capabilities are gaining broader market recognition, as evidenced by increasing adoption of Ernie,"" he said. Baidu has promoted its Ernie chatbot as a local alternative to OpenAI's ChatGPT, which isn't available in China. Li told investors that the company is actively exploring Apollo Go's international expansion, but did not specify locations or a timeframe."
Gautam Adani: US charges Indian billionaire with fraud - BBC.com,https://ichef.bbci.co.uk/news/1024/branded_news/27e9/live/33f8b140-a785-11ef-a968-c7efee733ac0.jpg,"After Trump won, Mr Adani had congratulated him on social media and pledged last week to invest $10bn in the US. ""For the last nearly two years, Mr Adani has been trying to rehabilitate his image, and [trying] to show that those earlier fraud allegations levelled by the Hindenburg group were not true, and his company and his businesses had actually been doing quite well,"" he told the BBC's Business Today programme. ""Our main focus when assessing Adani Group is on the ability of the group’s companies to access capital to meet their liquidity requirements and on its governance practices,"" it said. Australia collapse to 67-7 as India take control of the first Test in Perth despite being dismissed for just 150 on an extraordinary opening day. Marnus Labuschagne takes an ""extraordinary"" relay catch for Australia on day one of the first Test against India in Perth."
One Tech Tip: How to get started with Bluesky - The Associated Press,https://dims.apnews.com/dims4/default/afabb07/2147483647/strip/true/crop/5760x3240+0+300/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fb3%2F11%2F244e783caf52717fe7d73e137a0b%2Fdd643f90672a4a509a1e5ace8b978a57,"You might get a sense of deja vu because the platform’s look and feel are very similar to X. (Dorsey’s no longer involved with Bluesky, which is owned and run by its executive team as a public benefit corporation.) There’s a browser extension tool called Sky Follower Bridge that will help you find X users who’ve migrated to Bluesky. You can write posts or reply to others but keep it short because there’s a limit of 300 characters — 20 more than on X. But it’s also taking a different approach by open sourcing its content moderation system in an attempt to resolve problems with traditional moderation services which it says “lack transparency and user control.”  So, individuals or groups can set up their own content filters, or labelers, that go beyond what Bluesky offers."
NVIDIA Corp (NVDA) Q3 2025 Earnings Call Highlights: Record Revenue and Strong AI Demand Propel ... - Yahoo Finance,https://media.zenfs.com/en/us.finance.gurufocus/616b8c75d397e9b80edd7b1bef03288c,"There are concerns about potential digestion phases in hardware deployment cycles, which could impact growth as the market adjusts to new technologies. Q: Can you discuss the debate around whether scaling for large language models has stalled and how NVIDIA is addressing this? A: Jensen Huang assured that Blackwell production is in full steam, with more units being delivered than previously estimated. A: Colette Kress, CFO, stated that Blackwell will ramp with initial gross margins in the low 70s, improving to mid-70s as production scales. Jensen Huang added that Blackwell shipments will increase each quarter, with significant demand driven by shifts in computing from CPUs to GPUs."
"Morning Bid: Nvidia disappoints, bitcoin nears $100K - Yahoo Finance",https://media.zenfs.com/en/reuters-finance.com/1f70bc49caa0747e89c10e54bdc17eed,"Please bear with us as we address this and restore your personalized lists. A look at the day ahead in European and global markets from Ankur Banerjee The prospect of slowing sales growth at AI juggernaut Nvidia and simmering worries over geopolitical tensions are keeping investors on edge but bitcoin keeps marching upward, undeterred, towards $100,000 on bets that Trump 2.0 will be crypto-friendly. Futures indicate that European stock markets are set for a subdued open as investors digest Nvidia's projection of its slowest revenue growth in seven quarters. The biggest cryptocurrency touched a record high of $97,798 in Asian hours, with $100,000 not far off. Key developments that could influence markets on Thursday: Economic events: France business climate for November; euro zone consumer confidence flash for Nov (By Ankur Banerjee in Singapore; Editing by Edmund Klamann) Sign in to access your portfolio"
What will happen to CNBC and MSNBC when they no longer have a corporate connection to NBC News? - The Associated Press,https://dims.apnews.com/dims4/default/0f2b69a/2147483647/strip/true/crop/3924x2207+0+244/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fdd%2Fc9%2F2cec08576f1bd4dbd52f3ab4d8f7%2Ffb147ace56d840b09c552ba57bab554e,"How that affects viewers of those networks, along with the people who work there, still needs to shake out. Comcast is spinning off most of its cable networks, also including USA, Oxygen, E!, SYFY and the Golf Channel, into a separate company. “You can’t dismiss it as getting rid of the crappy assets, because these are talented executives,” she said. Trump ally Steve Bannon, on his radio show last week, sent out a specific warning to the network’s anchors and producers. “I completely empathize with people who think this would be a bittersweet thing,” Lazarus said, according to MSNBC."
DOJ: Google must sell Chrome to end monopoly - TechCrunch,"https://techcrunch.com/wp-content/uploads/2024/10/GettyImages-1337403704.jpg?resize=1200,800","Judge Mehta ruled in August that Google was an illegal monopoly for abusing its power over the search business. The DOJ hinted that if Google fails to put limitations on Android, it should be forced to sell it off.Prosecutors also argued that the company should be prohibited from entering into exclusionary third-party contracts with browser or phone companies, such as Google’s contract with Apple, which is to be the default search engine on all Apple products. It would break a range of Google products — even beyond Search — that people love and find helpful in their everyday lives,” president of global affairs and Google’s chief legal officer Kent Walker said in a blog post. He added that if the proposal goes through, it will hamper people’s ability to access Google Search. Topics  A company is now developing human washing machines Texas AG opens investigation into advertising group that Elon Musk sued for ‘boycotting’ X Hackers break into Andrew Tate’s online ‘university,’ steal user data and flood chats with emojis Apple Pay, Cash App, PayPal and other apps to be treated more like banks Wiz acquires Dazz for $450M to expand its cybersecurity platform DOJ: Google must sell Chrome to end monopoly OpenAI accidentally deleted potential evidence in NY Times copyright lawsuit"
BlackRock's Bitcoin ETF Options Record Historic Day 1: Recap - Bitcoinist,https://bitcoinist.com/wp-content/uploads/2024/11/DALL·E-2024-11-20-11.00.12-A-digital-representation-of-a-shiny-Bitcoin-coin-prominently-displayed-in-front-of-a-stylized-modern-skyscraper-representing-a-generic-investment-fir.webp,"BlackRock’s Bitcoin ETF options made a historic debut, recording nearly $1.9 billion in notional value traded on the first day. Jeff Park, Head of Alpha Strategies at Bitwise Invest, shared his detailed observations on X , highlighting key takeaways from the inaugural trading day. “More interestingly, it did NOT match the upward sloping BTC price movement (then down) in a predictable way,” he commented. Park expressed conviction that non-institutional trading would gravitate toward non-IBIT ETFs, potentially offering more opportunities for professional retail investors. “25k position limit is likely a weight on volume and Open Interest for [the] foreseeable future,” he responded."
"Bitcoin Hits $95K For The First Time Ever, Ethereum, Dogecoin Flat As Trump's Crypto Policy Takes Shape: Top Analyst Describes BTC's Path To $135K - Benzinga",https://cdn.benzinga.com/files/images/story/2024/11/20/Cryptocurrency-Photo-by-SvetlanaParnikov_1.jpeg?width=1200&height=800&fit=crop,"With the latest uptick, Bitcoin's weekly gains jumped to nearly 5%, while its market dominance reached 60%. Its returns for November have shot past 33% already, against the historical average of 45%. Bitcoin's rally followed reports of a dedicated cryptocurrency role in Trump's administration that would act as a bridge between the White House, Congress, and regulatory agencies like the SEC and CFTC. Nvidia Corp. NVDA shares finished 0.76% lower ahead of third-quarter earnings, which eventually turned out to be better than expected. pic.twitter.com/hsIBWBVGnl Another widely-followed analyst, Rekt Capital, stated that Bitcoin dips from the previously broken resistance would mean a ""post-breakout retest."""
The Hyundai Ioniq 9 is a three-row electric SUV with room to grow - The Verge,https://cdn.vox-cdn.com/thumbor/m8f9olQgK9BL7P9F8d19AmJmVhU=/0x0:8192x5464/1200x628/filters:focal(4096x2732:4097x2733)/cdn.vox-cdn.com/uploads/chorus_asset/file/25745026/IONIQ_9_C_Studio_NA_01.jpg,"By  Abigail Bassett Ahead of the LA Auto Show this week, Hyundai showed off its brand-new three-row all-electric SUV with a suite of features that the Korean automaker is convinced will appeal to fickle American car buyers. And it will have a 110.3kWh battery that Hyundai said should get more than 300 miles of range for all models. For example, owners may be forced to take up two or more spaces at crowded stalls. “Ioniq 9 pricing will be announced closer to launch, but we will take all relevant market factors into consideration to arrive at competitive numbers,” said Chris Paukert, senior group manager of product public relations at Hyundai, when asked about Trump’s threats to kill the federal tax credit for EV purchases and roll back tailpipe emission rules. Regardless of what Trump actually implements, Hyundai said it’s committed to meeting customers where they are."
